Model,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,Avg.
openai-ada-002,-,-,-,-,-,-,-,90.10
Avg. BERT,78.66,86.25,94.37,88.66,84.40,92.80,69.54,84.94
BERT-CLS,78.68,84.85,94.21,88.23,84.13,91.40,71.13,84.66
IS-BERT,81.09,87.18,94.96,88.75,85.96,88.64,74.24,85.83
DiffCSE-BERTbase,82.69,87.23,95.23,89.28,86.60,90.40,76.58,86.86
SimCSE-BERTbase,81.18,86.46,94.45,88.88,85.50,89.80,74.43,85.81
SBERTbase,80.10,86.25,94.61,88.78,84.90,89.00,73.25,85.27
AoE-BERTbase (Paper),83.00,89.38,94.72,89.87,87.20,89.00,75.54,86.96
AoE-BERTbase (repro + NLI 2ep),67.48,80.82,84.67,-,75.96,-,-,-
AoE-BERTbase (repro + NLI 5ep),69.86,82.95,84.16,-,77.17,-,-,-
