Model,STS12,STS13,STS14,STS15,STS16,STS-B,SICK-R,Avg
SBERT (bert-base),70.97,76.53,73.19,79.09,74.30,77.03,72.91,74.89
SimCSE (sup-bert-base),75.30,84.67,80.19,85.40,80.82,84.25,80.39,81.57
ConSERT,74.07,83.93,77.05,83.66,78.76,81.36,76.77,79.37
CoSENT,71.35,77.52,75.05,79.68,76.05,78.99,71.19,75.69
AoE (paper),75.26,85.61,80.64,86.36,82.51,85.64,80.99,82.43
AoE (prompt + 2 epoch + angle + cl),69.70,77.69,71.40,80.37,75.33,77.88,74.94,75.33
AoE (prompt + 2 epoch + angle + cl - Re-run),70.63,77.99,71.97,80.69,75.73,78.34,74.69,75.72
AoE (1 epoch + angle + cl),71.07,77.73,72.06,80.47,75.45,78.35,74.50,75.66
AoE (2 epoch + angle + cl),70.99,78.35,72.02,80.88,75.54,78.37,74.65,75.83
AoE (5 epoch + angle + cl),69.24,77.94,70.20,79.48,74.30,76.74,74.44,74.62
